"","ZCTA5CE10","max99_1","max99_2","max99_3","max975_1","max975_2","max975_3","max95_1","max95_2","max95_3","min99_1","min99_2","min99_3","min975_1","min975_2","min975_3","min95_1","min95_2","min95_3","diff01_1","diff01_2","diff01_3","diff025_1","diff025_2","diff025_3","diff05_1","diff05_2","diff05_3","hi95","hi95_2","hi95_3","hi975","hi975_2","hi975_3","hi99","hi99_2","hi99_3","max99_1_SNR","max99_2_SNR","max99_3_SNR","max975_1_SNR","max975_2_SNR","max975_3_SNR","max95_1_SNR","max95_2_SNR","max95_3_SNR","min99_1_SNR","min99_2_SNR","min99_3_SNR","min975_1_SNR","min975_2_SNR","min975_3_SNR","min95_1_SNR","min95_2_SNR","min95_3_SNR","diff01_1_SNR","diff01_2_SNR","diff01_3_SNR","diff025_1_SNR","diff025_2_SNR","diff025_3_SNR","diff05_1_SNR","diff05_2_SNR","diff05_3_SNR","hi95_SNR","hi95_2_SNR","hi95_3_SNR","hi975_SNR","hi975_2_SNR","hi975_3_SNR","hi99_SNR","hi99_2_SNR","hi99_3_SNR"
"11","90012",0.140046685174638,-0.065472457427842,-0.747641013153868,0.0109045756479647,-0.406496424746012,-0.063369099881395,-0.032270439162998,-0.531863893952004,-0.36368365678813,-0.29264111551554,-0.348712430158353,0.370490671270551,-0.1834738151366,-0.328081672861459,0.199102061373068,-0.121044166581278,-0.0565338564290797,0.0626796447684315,0.537891941906301,-0.216669936754667,0,0.0780236507818267,-0.358362993542888,-1.11154046576358,0.125401156709486,-0.239989010423519,-0.132990937464402,0,0,0,0,0,0,0,0,0,3.787876666451,-1.0165576106344,-7.36943825289269,0.424545895488881,-11.0245965285225,-1.21305128644293,-1.87056433973347,-22.6833261293786,-11.4704060208164,-7.66841481370737,-6.50958761250839,3.69892646643493,-6.94893026229745,-8.21508936566803,3.21182619625012,-6.53689585589643,-2.21861772386081,1.79732938401221,13.5298287410986,-2.21250957136598,0,3.52248839274216,-6.46938572559694,-12.4323416015439,7.36148043583737,-7.19802873675453,-2.13997765278731,0,0,0,0,0,0,0,0,0
"12","90013",-0.112680906310803,0.352994374236048,-0.149927389013672,-0.0446097464614205,0.0922208929344455,0.120260857820546,0.0380462939125179,-0.13480289657687,-0.163387546580162,0.026850540280916,0.314194068313147,1.18374149916134,0.113559130141916,0.183762129046676,0.609735715747749,0.0884693591944462,0.126852477780203,0.457191403731278,0.394905605875406,0.962209336702262,0,0.194803762330734,0.0783134017380204,-0.234525940586199,0.104350937163287,-0.156987802001288,0.0730849859640621,0,0,0,0,0,0,0,0,0,-3.04770780712872,5.48076445788312,-1.47782239913889,-1.73678328899764,2.50112442375744,2.30210920718435,2.20536325186976,-5.74917399170921,-5.15316391880461,0.72514518297359,6.09394549463833,12.0636985517359,4.38128760166956,4.76946031043057,10.299973525107,4.89095977210136,5.16456021767475,13.6398791222844,9.93323156591323,9.82553186195829,0,8.79469218367235,1.41376094199373,-2.62312232221619,6.12575994150079,-4.70856023003318,1.1760217628305,0,0,0,0,0,0,0,0,0
"13","90014",-0.106605430449276,-0.193196523284212,-0.364645937769752,-0.177322247023093,-0.0634067333522922,-0.102992068383616,-0.194879068076899,-0.0680157327332061,0.319028753894882,0.0699686199364971,0.333810023707574,-0.13164278361227,-0.224499595594837,0.0145200779095502,-0.249760084993869,-0.0941874009073426,-0.0199326225871814,-0.125289288184132,-0.207876731394842,0,0,-0.0406464366245902,-0.202091954855046,1.45623208854043,0.0942735672422271,-0.112834879765212,0.109343556911686,0,0,0,0,0,0,0,0,0,-2.88338293771273,-2.99966434449358,-3.59428612834712,-6.90365536292744,-1.7196551060379,-1.97153914573504,-11.2962155074456,-2.90078545481261,10.0620120568718,1.88851826130337,6.47497983133414,-1.33866865382878,-8.64117179637054,0.376814366704312,-4.24210030297703,-5.20400892860277,-0.814007323961182,-3.74566539841956,-5.22881336549471,0,0,-1.83504103924598,-3.64828632295915,16.287643440338,5.53418356800337,-3.38427457834395,1.75946401107158,0,0,0,0,0,0,0,0,0
"14","90015",-0.570419104325003,-0.292972457816336,-0.177017803810651,-0.381233994652756,-0.154855730088206,0.0425512197589578,-0.134895629002241,-0.0912003920060336,0.0581142925823463,-0.12621661959871,-0.490731933057233,-0.227217452481037,-0.193815560892787,-0.0511667340979689,-0.162667526955254,-0.11590468987718,-0.0715025552759175,-0.0120004929184348,-0.177594211116239,0,0,0.0295738189137002,-0.147326972496952,-0.793135122571245,-0.032447207471959,-0.127910221753173,-0.317339202095303,0,0,0,0,0,0,0,0,0,-15.428263886976,-4.54883463061849,-1.74485047221023,-14.8425150024858,-4.19984491971598,0.814542292141256,-7.81925997111425,-3.8895820124739,1.83289658220844,-3.39069278316663,-9.44791193302708,-2.3104659924273,-7.46501523007482,-1.31906138954123,-2.71261999942208,-6.38221669563006,-2.88411417979156,-0.354763889377024,-4.46710403077909,0,0,1.33515200594576,-2.65963570469262,-8.87104615954254,-1.90476299637126,-3.83643171943241,-5.1063539650518,0,0,0,0,0,0,0,0,0
"15","90016",-0.482941673975098,-0.324627642207078,0,-0.215971514230237,-0.0973312373536382,-0.0895011463495639,0.0294919711632244,-0.198354226339047,-0.0371704271591263,-0.90061672669621,-0.823532656245414,-0.071502099750377,-0.653427942312701,-0.865581050633034,-0.542617982517054,-0.491951588801926,-0.916043082566059,-0.908731651585819,0.395586517712601,1.70433671481125,0,0.388970736435579,1.33975149124313,1.48043040366965,0.269943221158548,1.15066864004639,1.43256206566275,0,0,0,0,0,0,0,0,0,-13.0622406080222,-5.04032860950127,0,-8.40838037801857,-2.63972216266398,-1.71328740538622,1.70950972460364,-8.45955827487554,-1.17233723188926,-22.2020290451863,-14.301966471524,-0.678484089180992,-23.5913028463814,-20.2276231056127,-8.21239198600819,-25.2978432098422,-33.951069767006,-24.38440819022,9.95035883596005,17.4037125354407,0,17.5606356595894,24.186005054839,16.5582964027217,15.8465981773137,34.5121883827913,23.0515767855964,0,0,0,0,0,0,0,0,0
"16","90017",-0.316892919039755,-0.275392532479187,-1.19257746772472,-0.158629252598587,-0.224335576464148,-0.338614081794547,-0.209103128209666,-0.204060342883449,-0.234134203141756,-0.552387144025346,-0.582379861263376,-0.0865704382436311,-0.432141196974985,-0.758048497134069,-0.552513319530022,-0.185509852554702,-0.141417828647745,-0.0426877289550659,-0.0888575490332682,0,0,0.0838904102690319,0.237951528200648,-0.176980239637964,0.131178680467295,0.391485721014447,0.30557388557497,0,0,0,0,0,0,0,0,0,-8.57107965316993,-4.27588005402329,-11.7551416462752,-6.1758843506917,-6.08420902854447,-6.48196436902782,-12.120716826321,-8.70291696867056,-7.38447912978613,-14.7282914287722,-11.1058038136311,-0.875812269456102,-16.5681474281808,-19.3680792747694,-9.10850521308072,-10.1557100858917,-5.6522824962235,-1.24954765183267,-2.23507237627166,0,0,3.78735157191428,4.29564505170096,-1.9794860049389,7.7006410084087,11.7418937847118,4.91703644529057,0,0,0,0,0,0,0,0,0
"17","90018",0.204394316203598,1.36410740532446,0,0.303882192632726,0.455923395490908,1.35857628411951,0.275203022606143,0.371915832139121,0.588726759545518,0.188825263608451,1.42958272127658,1.92182380579862,-0.0788754995893156,0.425366811312987,0.65361830205158,-0.144153823645141,0.0119567719189126,0.518226700920739,0.466026068654637,-1.30360694255451,0,0.517485744010281,-0.334561382288388,0.72398714382087,0.451784138740397,-0.0814774060196078,0.238997989755329,0,0,0,0,0,0,0,0,0,5.52830265234315,21.1798032192944,0,11.830991114126,12.3651062523904,26.0067242909645,15.95221427492,15.8617424664894,18.5681562568556,4.61884786162427,24.6039699424446,18.1142226990007,-2.82962997877529,9.85446089247104,9.81763829013407,-7.36606586453304,0.440061005121971,13.7926439647188,11.7221553374433,-13.3116891106439,0,23.362627977802,-6.03970462885825,8.09764085459901,26.5212872498766,-2.44376485777566,3.84575345424869,0,0,0,0,0,0,0,0,0
"18","90019",0.427726991331257,1.49590122737033,0,0.00669264223066066,0.840939186708405,0.715325649472394,0.0702097937783062,-0.103976123414552,0.172477270229576,-0.217913756993664,0.485152666110644,0.271230869713751,-0.359442747228648,-0.0192477570108175,-0.142512268862431,-0.0264383367358481,0.0379906891570318,-0.075961465341878,0.0658308427172002,0.48001232114653,0,-0.483676609321992,-1.24787655212663,-2.02365534790392,-0.233080336314539,-0.333162344285535,-0.302135485393951,0,0,0,0,0,0,0,0,0,11.5688356925735,23.2260989915736,0,0.260563444257719,22.8071261494532,13.6932148467028,4.06972882762403,-4.43445088847042,5.43984939099929,-4.935169289113,7.64749811968935,2.38827613212437,-12.0833279826046,-0.409632779552678,-1.99107384091779,-1.26752120106858,1.30618279109241,-1.86755166083386,1.65587166948315,4.90161150558154,0,-21.8362666333275,-22.5274230294346,-22.6341508418677,-13.6826196885318,-9.99259142716466,-4.86170861853027,0,0,0,0,0,0,0,0,0
"19","90020",-0.00710938514219607,-0.221660841984325,0.987983521836797,-0.115266823427728,-0.556901297964449,-0.255750335167659,-0.181344505897186,-0.359952977416103,-0.561932845216831,-0.427645111107263,-0.379839435415136,-0.154827009750095,-0.178895903753705,-0.158435430831185,-0.344170334126211,-0.157843863368374,-0.0650958739586217,-0.295294405246433,-0.219276928096786,-0.790392167631557,0,0.21501812306849,0.376688691094615,0.557618507805403,0.286165254332192,0.104697585485737,0.470318866967546,0,0,0,0,0,0,0,0,0,-0.192289264536015,-3.44161537158025,9.7384753256618,-4.48766264292157,-15.1037296825051,-4.89573425634889,-10.5116811154778,-15.3515417587402,-17.7230892033859,-10.9217161053648,-6.87578574283553,-1.51380221915944,-6.64420241402028,-3.85254918955846,-5.39798858035678,-8.35176544689568,-2.49210634085033,-8.22885448455175,-5.51556744559024,-8.07103312167214,0,9.707298173676,6.80021231285325,6.23684335920027,16.798887478073,3.14021141078589,7.56797330843842,0,0,0,0,0,0,0,0,0
"20","90021",-0.21860851341171,-0.243560325134745,-0.171818134813672,-0.0193342090733393,-0.0568409868298887,-0.0340483907212375,-0.0226395095189851,0.00646119768012324,-0.133332946706741,-0.0269511384352379,-0.0534991084714473,0.0468346762529843,-0.0345774928643633,-0.0125835460245,-0.0554254625218695,-0.0254928122130527,-0.0415049104106903,-0.040729748651302,-0.000642756949968494,-0.156808939292832,0,-0.116239663078137,-0.279941459105493,-0.239629562895993,0.0600001282034123,-0.185390567673195,-0.240867305744257,0,0,0,0,0,0,0,0,0,-5.91275749231169,-3.78163752960074,-1.69359774672495,-0.752735307599257,-1.54158538165281,-0.651775774675869,-1.31230501578757,0.275561954536147,-4.20525642583153,-0.725921701573727,-1.03570105170461,0.474875520206631,-1.32699974328668,-0.325903273632227,-0.943406257065929,-1.40609202157931,-1.69605821782966,-1.21722843002347,-0.0161675436601716,-1.60124327471409,0,-5.2478044780797,-5.05367270664658,-2.68020524264503,3.5222144795714,-5.56044891922316,-3.87583290566525,0,0,0,0,0,0,0,0,0
